X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No4_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No4_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No4_230901 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No4_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No4_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No4_230901 3
0.5,0.882,0.887,0.883,0.4,0,0,0
1,0.889,0.894,0.888,0.463,0,0,0
1.5,0.885,0.888,0.885,0.536,0,0,0
2,0.881,0.888,0.883,0.621,0,0,0
2.5,0.881,0.887,0.88,0.719,0,0,0
3,0.88,0.882,0.878,0.833,0,0,0
3.5,0.876,0.878,0.878,0.965,0,0,0
4,0.873,0.879,0.875,1.12,0,0,0
4.5,0.869,0.876,0.872,1.29,0,0,0
5.5,0.866,0.872,0.869,1.5,0,0,0
6.5,0.861,0.868,0.864,1.74,0,0,0
7.5,0.857,0.862,0.859,2.01,0,0,0
8.5,0.853,0.858,0.854,2.33,0,0,0
9.5,0.848,0.853,0.85,2.7,0,0,0
10.5,0.843,0.849,0.845,3.12,0,0,0
11.5,0.84,0.843,0.841,3.62,0,0,0
12.5,0.833,0.839,0.837,4.19,0,0,0
14.5,0.825,0.831,0.828,4.85,0,0,0
16.5,0.818,0.821,0.82,5.61,0,0,0
18.5,0.808,0.814,0.812,6.5,0,0,0
20.5,0.8,0.805,0.803,7.53,0,0,0
22.5,0.792,0.797,0.795,8.72,0,0,0
24.5,0.785,0.79,0.787,10.1,0,0,0
26.5,0.776,0.782,0.779,11.7,0,0,0
28.5,0.768,0.773,0.771,13.5,0,0,0
32.5,0.753,0.757,0.756,15.7,0,0,0
36.5,0.738,0.741,0.742,18.2,0.114,0.014,0
40.5,0.723,0.727,0.726,21,0.332,0.111,0
44.5,0.709,0.712,0.713,24.4,0.491,0.251,0
48.5,0.694,0.697,0.698,28.2,0.467,0.368,0.0405
52.5,0.68,0.685,0.685,32.7,0.269,0.439,0.425
56.5,0.668,0.671,0.671,37.8,0.0462,0.515,0.971
60.5,0.654,0.658,0.659,43.8,0.0373,0.716,1.49
68.5,0.629,0.632,0.633,50.7,0.478,1.19,1.96
76.5,0.605,0.608,0.609,58.8,1.52,2.04,2.49
84.5,0.582,0.585,0.586,68.1,3.17,3.32,3.24
92.5,0.56,0.563,0.564,78.8,5.29,4.94,4.29
101,0.539,0.541,0.543,91.3,7.6,6.74,5.66
109,0.519,0.522,0.523,106,9.74,8.48,7.19
117,0.5,0.502,0.504,122,11.4,9.91,8.68
125,0.482,0.484,0.486,142,12.2,10.8,9.85
141,0.447,0.449,0.452,164,12.1,11,10.5
157,0.416,0.417,0.42,190,11,10.4,10.4
173,0.386,0.388,0.391,220,9.17,9.22,9.66
189,0.36,0.361,0.365,255,6.85,7.51,8.25
205,0.335,0.337,0.341,295,4.44,5.54,6.41
221,0.312,0.314,0.318,342,2.33,3.6,4.42
237,0.291,0.293,0.297,396,0.849,1.95,2.59
253,0.272,0.273,0.278,459,0.117,0.781,1.16
285,0.237,0.239,0.244,531,0,0.161,0.307
317,0.208,0.209,0.214,615,0,0,0
349,0.182,0.184,0.189,712,0,0,0
381,0.161,0.163,0.167,825,0,0,0
413,0.141,0.144,0.148,955,0,0,0
445,0.125,0.127,0.131,1.11E+03,0,0,0
477,0.11,0.112,0.116,1.28E+03,0,0,0
509,0.0981,0.0998,0.104,1.48E+03,0,0,0
573,0.0774,0.078,0.0819,1.72E+03,0,0,0
637,0.0611,0.0614,0.0655,1.99E+03,0,0,0
701,0.0484,0.0489,0.0522,2.30E+03,0,0,0
765,0.0387,0.0398,0.0419,2.67E+03,0,0,0
829,0.0318,0.0326,0.0341,3.09E+03,0,0,0
893,0.0268,0.0266,0.0284,3.58E+03,0,0,0
957,0.0225,0.0226,0.024,4.15E+03,0,0,0
1.02E+03,0.0186,0.0187,0.0208,4.80E+03,0,0,0
1.15E+03,0.0126,0.0135,0.0151,5.56E+03,0,0,0
1.28E+03,0.00981,0.0112,0.0112,6.44E+03,0,0,0
1.40E+03,0.00732,0.00978,0.00725,7.46E+03,0,0,0
1.53E+03,0.00577,0.00839,0.00478,8.63E+03,0,0,0
1.66E+03,0.00513,0.00742,0.0041,,,,
1.79E+03,0.00488,0.00584,0.00446,,,,
1.92E+03,0.00526,0.00381,0.00397,,,,
2.04E+03,0.00503,0.00312,0.00359,,,,
2.30E+03,0.00461,0.00276,0.00436,,,,
2.56E+03,0.00345,0.00261,0.00442,,,,
2.81E+03,0.00457,0.0029,0.00414,,,,
3.07E+03,0.00459,0.00142,0.00304,,,,
3.32E+03,0.00334,0.00118,0.00259,,,,
3.58E+03,0.00434,0.00209,0.00363,,,,
3.84E+03,0.00388,0.00294,0.00356,,,,
4.09E+03,0.00285,0.00379,0.00478,,,,
4.60E+03,0.00442,0.00425,0.00294,,,,
5.12E+03,0.00254,0.00199,0.00189,,,,
5.63E+03,0.00152,0.000415,0.0011,,,,
6.14E+03,0.00278,0.000742,0.00116,,,,
6.65E+03,0.00238,0.00111,0.00164,,,,
7.16E+03,0.00264,0.00206,0.00371,,,,
7.68E+03,0.00187,0.00268,0.00201,,,,
8.19E+03,0.00269,0.00254,0.00062,,,,
9.21E+03,0.00261,0.00142,0.00221,,,,
1.02E+04,0.00271,0.000882,0.00465,,,,
1.13E+04,0.00284,0.00119,0.00113,,,,
1.23E+04,0.00299,0.00133,0.00175,,,,
1.33E+04,0.00218,0.00393,0.0012,,,,
1.43E+04,0.00284,0.00453,0.000495,,,,
1.54E+04,0.00114,0.00185,0.00217,,,,
1.64E+04,0.00142,0.00197,0.00179,,,,
1.84E+04,0.00137,0.000269,0.00156,,,,
2.05E+04,0.00218,0.000981,0.00294,,,,
2.25E+04,0.000723,0.000885,0.00271,,,,
2.46E+04,0.000883,0.00151,0.00116,,,,
2.66E+04,0.000974,0.00157,0.000355,,,,
2.87E+04,0.000387,0.00225,0.000901,,,,
3.07E+04,0.0016,0.00201,0.00117,,,,
3.28E+04,0.00079,0.00111,0.000936,,,,
3.69E+04,0.000666,0.00038,0.00164,,,,
4.10E+04,0.00157,0.000681,0.00293,,,,
4.51E+04,0.000872,0.00206,0.00112,,,,
4.91E+04,0.00118,0.00148,0.000944,,,,
5.32E+04,0.00158,0.000119,0.000809,,,,
5.73E+04,0.00137,0.000415,0.00155,,,,
6.14E+04,0.00126,0.00099,0.000533,,,,
6.55E+04,0.0019,0.00024,0.000916,,,,
7.37E+04,0.000641,0.000958,0.000633,,,,
8.19E+04,0.000896,0.00183,0.000995,,,,
9.01E+04,0.000562,0.00114,0.000337,,,,
9.83E+04,0.00101,0.000712,0.00102,,,,
1.06E+05,0.00132,0.000636,0.0008,,,,
1.15E+05,0.00133,0.000671,0.00107,,,,
1.23E+05,0.000246,0.000926,0.000727,,,,
1.31E+05,0.000364,0.000649,0.000805,,,,
1.47E+05,0.000187,0.000336,0.000544,,,,
1.64E+05,0.000368,0.000663,0.000938,,,,
1.80E+05,0.000665,0.000976,0.000579,,,,
1.97E+05,0.000323,0.00081,0.000998,,,,
2.13E+05,0.000145,0.000327,0.000902,,,,
2.29E+05,0.000875,0.000689,0.00114,,,,
2.46E+05,0.000765,0.00124,0.000833,,,,
2.62E+05,0.000656,0.000455,0.000714,,,,
2.95E+05,0.000406,0.000256,0.000841,,,,
3.28E+05,0.000702,0.000876,0.00127,,,,
3.60E+05,0.000488,0.00058,0.000638,,,,
3.93E+05,8.52E-05,0.000739,0.001,,,,
4.26E+05,5.38E-05,0.000278,0.000561,,,,
4.59E+05,0.000304,0.000429,0.000489,,,,
4.92E+05,8.69E-05,0.000354,0.000973,,,,
5.24E+05,0.000265,0.000993,0.000745,,,,
5.90E+05,0.000647,0.00108,0.00053,,,,
6.55E+05,0.000515,0.00079,0.000952,,,,
7.21E+05,0.000531,0.000459,0.000638,,,,
7.86E+05,0.00133,0.000323,0.000513,,,,
8.52E+05,0.000573,0.000415,0.000405,,,,
9.18E+05,0.000559,0.000758,0.000345,,,,
9.83E+05,0.000783,0.000559,0.000517,,,,
1.05E+06,0.000291,0.00093,0.000995,,,,
1.18E+06,9.58E-05,0.0013,0.000916,,,,
1.31E+06,0.000188,0.000717,0.000465,,,,
1.44E+06,0,0.000981,0.000532,,,,
1.57E+06,0,0.000693,0.000523,,,,
1.70E+06,0.000254,0.000488,0.00101,,,,
1.84E+06,0,0.000254,0.000529,,,,
1.97E+06,0.000162,0.000125,0.000495,,,,
2.10E+06,0.000598,0.00196,0.00224,,,,
2.36E+06,0.000451,0.00118,0.00345,,,,
2.62E+06,0.00111,0.000699,0.00339,,,,
2.88E+06,0.000484,0.00161,0.00361,,,,
3.15E+06,8.31E-05,0.00108,0.00411,,,,
3.41E+06,0.000744,0.00142,0.00537,,,,
3.67E+06,3.15E-05,0.000918,0.0045,,,,
3.93E+06,6.69E-05,0.00173,0.00462,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
