X Lag Time,Record 1: EVs_3e10_300rpm_02-00min_ST_No3_230911 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No3_230911 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No3_230911 3,X Intensity,Record 1: EVs_3e10_300rpm_02-00min_ST_No3_230911 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No3_230911 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No3_230911 3
0.5,0.88,0.881,0.89,0.4,0,0,0
1,0.887,0.889,0.898,0.463,0,0,0
1.5,0.882,0.885,0.893,0.536,0,0,0
2,0.883,0.883,0.892,0.621,0,0,0
2.5,0.879,0.883,0.888,0.719,0,0,0
3,0.88,0.881,0.889,0.833,0,0,0
3.5,0.878,0.878,0.886,0.965,0,0,0
4,0.876,0.877,0.887,1.12,0,0,0
4.5,0.875,0.877,0.885,1.29,0,0,0
5.5,0.871,0.871,0.883,1.5,0,0,0
6.5,0.868,0.868,0.879,1.74,0,0,0
7.5,0.865,0.868,0.877,2.01,0,0,0
8.5,0.862,0.865,0.872,2.33,0,0,0
9.5,0.859,0.86,0.87,2.7,0,0,0
10.5,0.857,0.858,0.866,3.12,0,0,0
11.5,0.852,0.854,0.863,3.62,0,0,0
12.5,0.849,0.851,0.86,4.19,0,0,0
14.5,0.843,0.846,0.854,4.85,0,0,0
16.5,0.838,0.84,0.848,5.61,0,0,0
18.5,0.832,0.834,0.842,6.5,0,0,0
20.5,0.826,0.829,0.837,7.53,0,0,0
22.5,0.821,0.823,0.832,8.72,0,0,0
24.5,0.815,0.817,0.827,10.1,0,0,0
26.5,0.81,0.812,0.821,11.7,0,0,0
28.5,0.804,0.807,0.816,13.5,0,0,0
32.5,0.794,0.796,0.804,15.7,0,0,0
36.5,0.783,0.786,0.794,18.2,0,0,0
40.5,0.773,0.776,0.783,21,0,0.0148,0
44.5,0.762,0.767,0.774,24.4,0,0.0633,0
48.5,0.752,0.757,0.765,28.2,0,0.124,0
52.5,0.742,0.748,0.755,32.7,0.286,0.174,0.15
56.5,0.733,0.738,0.746,37.8,0.851,0.215,0.464
60.5,0.723,0.728,0.736,43.8,1.39,0.288,0.788
68.5,0.704,0.711,0.718,50.7,1.63,0.456,0.986
76.5,0.686,0.693,0.701,58.8,1.46,0.785,1.04
84.5,0.669,0.677,0.685,68.1,1.04,1.32,1.07
92.5,0.653,0.66,0.668,78.8,0.676,2.06,1.27
101,0.637,0.645,0.652,91.3,0.719,2.98,1.83
109,0.621,0.63,0.638,106,1.44,4,2.86
117,0.606,0.615,0.623,122,2.92,5.02,4.34
125,0.592,0.601,0.609,142,5.02,5.97,6.12
141,0.564,0.574,0.581,164,7.42,6.76,7.95
157,0.538,0.548,0.556,190,9.68,7.33,9.53
173,0.512,0.524,0.531,220,11.4,7.64,10.6
189,0.489,0.501,0.508,255,12.1,7.7,10.9
205,0.468,0.48,0.487,295,11.8,7.5,10.4
221,0.447,0.459,0.466,342,10.5,7.07,9.13
237,0.427,0.44,0.447,396,8.38,6.46,7.31
253,0.409,0.423,0.429,459,5.87,5.72,5.21
285,0.375,0.389,0.395,531,3.45,4.89,3.16
317,0.344,0.359,0.365,615,1.54,4.03,1.49
349,0.317,0.331,0.338,712,0.39,3.18,0.422
381,0.291,0.306,0.313,825,0,2.39,0
413,0.269,0.284,0.291,955,0,1.69,0
445,0.248,0.264,0.27,1.11E+03,0,1.09,0
477,0.23,0.246,0.251,1.28E+03,0,0.631,0
509,0.214,0.229,0.235,1.48E+03,0,0.298,0
573,0.185,0.199,0.205,1.72E+03,0,0.0923,0
637,0.16,0.174,0.18,1.99E+03,0,0,0
701,0.138,0.153,0.159,2.30E+03,0,0.00172,0
765,0.12,0.136,0.14,2.67E+03,0,0.0731,0
829,0.105,0.12,0.124,3.09E+03,0,0.187,0
893,0.0915,0.107,0.111,3.58E+03,0,0.315,0
957,0.0805,0.0957,0.0997,4.15E+03,0,0.432,0.292
1.02E+03,0.071,0.0863,0.0902,4.80E+03,0,0.512,0.951
1.15E+03,0.0544,0.0708,0.0738,5.56E+03,0,0.54,1.78
1.28E+03,0.0425,0.059,0.0624,6.44E+03,0,0,0
1.40E+03,0.0335,0.0501,0.0536,7.46E+03,0,0,0
1.53E+03,0.0259,0.0415,0.046,8.63E+03,0,0,0
1.66E+03,0.0202,0.0351,0.0396,,,,
1.79E+03,0.0165,0.0291,0.0349,,,,
1.92E+03,0.0144,0.0242,0.0314,,,,
2.04E+03,0.0136,0.0215,0.0283,,,,
2.30E+03,0.014,0.0173,0.024,,,,
2.56E+03,0.0136,0.0145,0.0216,,,,
2.81E+03,0.0124,0.0119,0.0186,,,,
3.07E+03,0.0108,0.0104,0.0156,,,,
3.32E+03,0.0111,0.00996,0.0142,,,,
3.58E+03,0.0123,0.0105,0.0133,,,,
3.84E+03,0.012,0.0102,0.0108,,,,
4.09E+03,0.0115,0.00932,0.011,,,,
4.60E+03,0.0102,0.0072,0.00965,,,,
5.12E+03,0.00996,0.0054,0.00673,,,,
5.63E+03,0.00937,0.00371,0.00791,,,,
6.14E+03,0.00728,0.00363,0.0108,,,,
6.65E+03,0.0056,0.00209,0.0113,,,,
7.16E+03,0.00588,0.00427,0.00979,,,,
7.68E+03,0.00652,0.00545,0.00724,,,,
8.19E+03,0.00694,0.00537,0.00534,,,,
9.21E+03,0.00497,0.00408,0.00581,,,,
1.02E+04,0.0052,0.00364,0.00865,,,,
1.13E+04,0.0056,0.00524,0.0079,,,,
1.23E+04,0.00488,0.00966,0.00838,,,,
1.33E+04,0.00402,0.00747,0.00937,,,,
1.43E+04,0.00619,0.00562,0.0112,,,,
1.54E+04,0.011,0.00545,0.00992,,,,
1.64E+04,0.00943,0.00531,0.00867,,,,
1.84E+04,0.00749,0.00397,0.00738,,,,
2.05E+04,0.00541,0.0034,0.00779,,,,
2.25E+04,0.00682,0.00578,0.00764,,,,
2.46E+04,0.00824,0.00206,0.00585,,,,
2.66E+04,0.00612,0.00154,0.0066,,,,
2.87E+04,0.00583,0.00312,0.00637,,,,
3.07E+04,0.00762,0.00359,0.00809,,,,
3.28E+04,0.00766,0.00356,0.00777,,,,
3.69E+04,0.00665,0.00464,0.00525,,,,
4.10E+04,0.00779,0.0035,0.00593,,,,
4.51E+04,0.00738,0.00483,0.00552,,,,
4.91E+04,0.00737,0.00344,0.00587,,,,
5.32E+04,0.00689,0.00432,0.00696,,,,
5.73E+04,0.00718,0.0051,0.00418,,,,
6.14E+04,0.00904,0.0039,0.00666,,,,
6.55E+04,0.00764,0.00573,0.00699,,,,
7.37E+04,0.00543,0.00653,0.00594,,,,
8.19E+04,0.0055,0.00557,0.00612,,,,
9.01E+04,0.00469,0.00419,0.00636,,,,
9.83E+04,0.00735,0.00496,0.00417,,,,
1.06E+05,0.00643,0.00264,0.00521,,,,
1.15E+05,0.00652,0.00509,0.00523,,,,
1.23E+05,0.00521,0.00324,0.00468,,,,
1.31E+05,0.00479,0.00363,0.00336,,,,
1.47E+05,0.00386,0.00655,0.00322,,,,
1.64E+05,0.00299,0.00437,0.003,,,,
1.80E+05,0.00449,0.00507,0.00255,,,,
1.97E+05,0.00579,0.00517,0.00401,,,,
2.13E+05,0.00537,0.00479,0.00304,,,,
