X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230905 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230905 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230905 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230905 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230905 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230905 3
0.5,0.888,0.89,0.889,0.4,0,0,0
1,0.896,0.897,0.897,0.463,0,0,0
1.5,0.893,0.898,0.896,0.536,0,0,0
2,0.891,0.895,0.894,0.621,0,0,0
2.5,0.892,0.894,0.894,0.719,0,0,0
3,0.891,0.892,0.893,0.833,0,0,0
3.5,0.889,0.893,0.89,0.965,0,0,0
4,0.889,0.891,0.889,1.12,0,0,0
4.5,0.887,0.89,0.889,1.29,0,0,0
5.5,0.885,0.886,0.887,1.5,0,0,0
6.5,0.883,0.885,0.884,1.74,0,0,0
7.5,0.881,0.883,0.882,2.01,0,0,0
8.5,0.878,0.882,0.88,2.33,0,0,0
9.5,0.877,0.879,0.878,2.7,0,0,0
10.5,0.874,0.877,0.877,3.12,0,0,0
11.5,0.872,0.874,0.874,3.62,0,0,0
12.5,0.87,0.871,0.872,4.19,0,0,0
14.5,0.865,0.867,0.868,4.85,0,0,0
16.5,0.862,0.864,0.863,5.61,0,0,0
18.5,0.858,0.859,0.86,6.5,0,0,0
20.5,0.854,0.856,0.856,7.53,0,0,0
22.5,0.85,0.852,0.852,8.72,0,0,0
24.5,0.846,0.847,0.848,10.1,0,0,0
26.5,0.842,0.843,0.844,11.7,0,0,0
28.5,0.838,0.839,0.841,13.5,0,0,0
32.5,0.831,0.831,0.833,15.7,0,0,0
36.5,0.823,0.824,0.825,18.2,0,0,0
40.5,0.815,0.816,0.818,21,0,0,0
44.5,0.808,0.809,0.811,24.4,0,0,0
48.5,0.801,0.802,0.804,28.2,0,0,0
52.5,0.794,0.794,0.797,32.7,0,0,0
56.5,0.788,0.787,0.79,37.8,0,0,0
60.5,0.781,0.78,0.784,43.8,0,0,0
68.5,0.768,0.767,0.77,50.7,0,0,0
76.5,0.754,0.754,0.758,58.8,0,0,0
84.5,0.741,0.741,0.745,68.1,0,0,0
92.5,0.729,0.728,0.732,78.8,0,0,0
101,0.717,0.715,0.721,91.3,0,0,0
109,0.705,0.704,0.709,106,0,0,0
117,0.694,0.692,0.698,122,0,0.218,0
125,0.683,0.68,0.687,142,0.471,1.34,0.549
141,0.66,0.658,0.665,164,1.89,3.4,2.1
157,0.639,0.636,0.644,190,4.22,6.06,4.55
173,0.62,0.616,0.624,220,7.06,8.77,7.49
189,0.6,0.596,0.605,255,9.86,11,10.3
205,0.581,0.577,0.587,295,12.1,12.4,12.5
221,0.564,0.559,0.569,342,13.3,12.7,13.6
237,0.547,0.541,0.552,396,13.3,11.9,13.4
253,0.53,0.525,0.536,459,12.2,10.3,12
285,0.499,0.493,0.504,531,10.1,8.12,9.73
317,0.469,0.463,0.475,615,7.45,5.73,6.97
349,0.442,0.436,0.448,712,4.73,3.51,4.23
381,0.416,0.41,0.422,825,2.4,1.74,2
413,0.392,0.386,0.398,955,0.804,0.598,0.567
445,0.37,0.363,0.376,1.11E+03,0.069,0.0754,0
477,0.349,0.342,0.355,1.28E+03,0,0,0
509,0.329,0.323,0.336,1.48E+03,0,0,0
573,0.293,0.288,0.3,1.72E+03,0,0,0
637,0.262,0.257,0.269,1.99E+03,0,0,0
701,0.234,0.229,0.241,2.30E+03,0,0,0
765,0.209,0.205,0.216,2.67E+03,0,0,0
829,0.188,0.183,0.194,3.09E+03,0,0.0352,0
893,0.168,0.164,0.175,3.58E+03,0,0.169,0
957,0.15,0.148,0.157,4.15E+03,0,0.391,0
