X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230829 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230829 3
0.5,0.904,0.921,0.906,0.4,0,0,0
1,0.907,0.926,0.911,0.463,0,0,0
1.5,0.905,0.92,0.908,0.536,0,0,0
2,0.903,0.92,0.908,0.621,0,0,0
2.5,0.903,0.916,0.906,0.719,0,0,0
3,0.9,0.916,0.902,0.833,0,0,0
3.5,0.896,0.912,0.901,0.965,0,0,0
4,0.896,0.908,0.896,1.12,0,0,0
4.5,0.893,0.907,0.895,1.29,0,0,0
5.5,0.887,0.904,0.892,1.5,0,0,0
6.5,0.885,0.898,0.886,1.74,0,0,0
7.5,0.879,0.895,0.884,2.01,0,0,0
8.5,0.874,0.889,0.88,2.33,0,0,0
9.5,0.871,0.886,0.875,2.7,0,0,0
10.5,0.866,0.882,0.87,3.12,0,0,0
11.5,0.862,0.88,0.865,3.62,0,0,0
12.5,0.858,0.874,0.862,4.19,0,0,0
14.5,0.849,0.865,0.853,4.85,0,0,0
16.5,0.841,0.858,0.846,5.61,0,0,0
18.5,0.834,0.85,0.837,6.5,0,0,0
20.5,0.824,0.841,0.829,7.53,0,0,0
22.5,0.816,0.833,0.823,8.72,0,0,0
24.5,0.809,0.826,0.812,10.1,0,0,0
26.5,0.801,0.819,0.805,11.7,0,0,0
28.5,0.793,0.812,0.799,13.5,0,0,0
32.5,0.777,0.796,0.783,15.7,0,0,0
36.5,0.763,0.781,0.769,18.2,0,0,0
40.5,0.748,0.767,0.754,21,0,0,0
44.5,0.734,0.753,0.74,24.4,0.0497,0,0
48.5,0.721,0.739,0.727,28.2,0.364,0,0
52.5,0.706,0.727,0.713,32.7,0.697,0,0
56.5,0.694,0.713,0.701,37.8,0.87,0,0
60.5,0.68,0.7,0.689,43.8,0.931,0,0
68.5,0.656,0.676,0.664,50.7,1.1,0,0
76.5,0.632,0.653,0.641,58.8,1.64,0.673,0.764
84.5,0.61,0.631,0.619,68.1,2.71,2.36,2.78
92.5,0.588,0.61,0.598,78.8,4.33,4.97,5.87
101,0.567,0.589,0.577,91.3,6.31,8.09,9.39
