X Lag Time,Record 1: EVs_3e10_300rpm_00-30min_ST_No2_230911 1,Record 2: EVs_3e10_300rpm_00-30min_ST_No2_230911 2,Record 3: EVs_3e10_300rpm_00-30min_ST_No2_230911 3,X Intensity,Record 1: EVs_3e10_300rpm_00-30min_ST_No2_230911 1,Record 2: EVs_3e10_300rpm_00-30min_ST_No2_230911 2,Record 3: EVs_3e10_300rpm_00-30min_ST_No2_230911 3
0.5,0.896,0.904,0.895,0.4,0,0,0
1,0.904,0.911,0.902,0.463,0,0,0
1.5,0.898,0.905,0.9,0.536,0,0,0
2,0.897,0.906,0.894,0.621,0,0,0
2.5,0.897,0.902,0.896,0.719,0,0,0
3,0.896,0.903,0.893,0.833,0,0,0
3.5,0.892,0.9,0.891,0.965,0,0,0
4,0.89,0.899,0.89,1.12,0,0,0
4.5,0.889,0.896,0.889,1.29,0,0,0
5.5,0.886,0.891,0.884,1.5,0,0,0
6.5,0.881,0.889,0.882,1.74,0,0,0
7.5,0.878,0.886,0.877,2.01,0,0,0
8.5,0.875,0.881,0.874,2.33,0,0,0
9.5,0.871,0.878,0.872,2.7,0,0,0
10.5,0.867,0.875,0.867,3.12,0,0,0
11.5,0.862,0.871,0.863,3.62,0,0,0
12.5,0.859,0.869,0.86,4.19,0,0,0
14.5,0.854,0.861,0.854,4.85,0,0,0
16.5,0.847,0.854,0.847,5.61,0,0,0
18.5,0.841,0.848,0.84,6.5,0,0,0
20.5,0.833,0.84,0.834,7.53,0,0,0
22.5,0.827,0.835,0.828,8.72,0,0,0
24.5,0.821,0.828,0.82,10.1,0,0,0
26.5,0.814,0.823,0.815,11.7,0,0,0
28.5,0.808,0.816,0.809,13.5,0,0.0192,0
32.5,0.797,0.803,0.796,15.7,0,0.101,0
36.5,0.784,0.792,0.784,18.2,0,0.205,0
40.5,0.771,0.78,0.772,21,0,0.278,0
44.5,0.76,0.768,0.761,24.4,0,0.299,0
48.5,0.749,0.757,0.75,28.2,0,0.282,0
52.5,0.739,0.746,0.738,32.7,0,0.265,0
56.5,0.727,0.736,0.728,37.8,0,0.288,0
60.5,0.716,0.725,0.718,43.8,0,0.393,0
68.5,0.695,0.705,0.698,50.7,0.123,0.615,0
76.5,0.676,0.685,0.678,58.8,0.61,0.988,0
84.5,0.656,0.666,0.659,68.1,1.54,1.55,0
92.5,0.638,0.648,0.64,78.8,2.85,2.31,0.648
101,0.62,0.63,0.623,91.3,4.38,3.29,2.31
109,0.603,0.613,0.607,106,5.94,4.46,4.79
117,0.587,0.596,0.59,122,7.34,5.73,7.59
125,0.571,0.58,0.575,142,8.41,7.02,10.1
141,0.54,0.551,0.545,164,9.05,8.17,11.9
157,0.511,0.523,0.517,190,9.22,9.05,12.5
173,0.485,0.496,0.491,220,8.95,9.52,12.1
189,0.461,0.472,0.467,255,8.3,9.51,10.6
205,0.438,0.448,0.444,295,7.36,8.97,8.45
221,0.415,0.427,0.423,342,6.24,7.94,6.02
237,0.395,0.407,0.402,396,5.04,6.54,3.72
253,0.376,0.388,0.383,459,3.86,4.93,1.86
285,0.341,0.353,0.349,531,2.78,3.31,0.643
317,0.309,0.321,0.318,615,1.86,1.89,0.0829
349,0.281,0.293,0.291,712,1.12,0.824,0
381,0.256,0.267,0.266,825,0.586,0.207,0
413,0.235,0.245,0.244,955,0.242,0,0
445,0.215,0.225,0.224,1.11E+03,0.0617,0,0
477,0.197,0.208,0.205,1.28E+03,0,0,0
509,0.181,0.192,0.189,1.48E+03,0,0,0
573,0.153,0.163,0.16,1.72E+03,0.0488,0,0
637,0.131,0.14,0.137,1.99E+03,0.14,0,0
701,0.112,0.12,0.118,2.30E+03,0.26,0,0.0777
765,0.0966,0.104,0.103,2.67E+03,0.395,0,0.281
829,0.0837,0.0899,0.0897,3.09E+03,0.525,0,0.6
893,0.0735,0.0787,0.079,3.58E+03,0.635,0,0.984
957,0.065,0.0689,0.0704,4.15E+03,0.708,0.0949,1.36
1.02E+03,0.058,0.061,0.0634,4.80E+03,0.732,0.328,1.65
1.15E+03,0.0462,0.0475,0.0522,5.56E+03,0.699,0.636,1.77
1.28E+03,0.0383,0.0381,0.043,6.44E+03,0,0,0
1.40E+03,0.032,0.0307,0.0363,7.46E+03,0,0,0
1.53E+03,0.0255,0.0243,0.0308,8.63E+03,0,0,0
1.66E+03,0.0205,0.0199,0.0265,,,,
1.79E+03,0.0163,0.0173,0.0239,,,,
1.92E+03,0.0132,0.0148,0.0213,,,,
2.04E+03,0.011,0.013,0.0187,,,,
2.30E+03,0.00831,0.0111,0.0143,,,,
2.56E+03,0.00579,0.00978,0.0125,,,,
2.81E+03,0.00549,0.00697,0.0106,,,,
3.07E+03,0.00566,0.00471,0.00954,,,,
3.32E+03,0.00504,0.00474,0.00784,,,,
3.58E+03,0.00546,0.00471,0.00664,,,,
3.84E+03,0.0064,0.00446,0.00577,,,,
4.09E+03,0.00636,0.00498,0.00435,,,,
4.60E+03,0.00591,0.00562,0.00473,,,,
5.12E+03,0.00392,0.00522,0.00584,,,,
5.63E+03,0.00271,0.00432,0.00545,,,,
