X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_PM_No1_230830 1,Record 2: EVs_3e10_300rpm_40-00min_PM_No1_230830 2,Record 3: EVs_3e10_300rpm_40-00min_PM_No1_230830 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_PM_No1_230830 1,Record 2: EVs_3e10_300rpm_40-00min_PM_No1_230830 2,Record 3: EVs_3e10_300rpm_40-00min_PM_No1_230830 3
0.5,0.883,0.905,0.896,0.4,0,0,0
1,0.89,0.911,0.902,0.463,0,0,0
1.5,0.887,0.909,0.9,0.536,0,0,0
2,0.886,0.908,0.898,0.621,0,0,0
2.5,0.885,0.909,0.897,0.719,0,0,0
3,0.883,0.906,0.895,0.833,0,0,0
3.5,0.884,0.905,0.895,0.965,0,0,0
4,0.882,0.902,0.895,1.12,0,0,0
4.5,0.881,0.903,0.894,1.29,0,0,0
5.5,0.879,0.9,0.891,1.5,0,0,0
6.5,0.877,0.898,0.888,1.74,0,0,0
7.5,0.875,0.896,0.886,2.01,0,0,0
8.5,0.872,0.893,0.883,2.33,0,0,0
9.5,0.87,0.892,0.881,2.7,0,0,0
10.5,0.868,0.889,0.88,3.12,0,0,0
11.5,0.866,0.887,0.878,3.62,0,0,0
12.5,0.864,0.886,0.876,4.19,0,0,0
14.5,0.859,0.881,0.871,4.85,0,0,0
16.5,0.855,0.876,0.867,5.61,0,0,0
18.5,0.851,0.873,0.864,6.5,0,0,0
20.5,0.847,0.87,0.859,7.53,0,0,0
22.5,0.844,0.865,0.855,8.72,0,0,0
24.5,0.84,0.862,0.851,10.1,0,0,0
26.5,0.837,0.857,0.847,11.7,0,0,0
28.5,0.832,0.854,0.843,13.5,0,0,0
32.5,0.825,0.847,0.836,15.7,0,0,0
36.5,0.817,0.839,0.828,18.2,0,0,0
40.5,0.81,0.832,0.821,21,0,0,0
44.5,0.804,0.825,0.813,24.4,0,0,0
48.5,0.796,0.818,0.807,28.2,0,0,0
52.5,0.79,0.811,0.8,32.7,0,0,0
56.5,0.783,0.805,0.793,37.8,0,0,0
60.5,0.777,0.798,0.787,43.8,0,0,0
68.5,0.763,0.785,0.773,50.7,0,0,0
76.5,0.751,0.772,0.761,58.8,0,0,0
84.5,0.738,0.76,0.748,68.1,0,0,0
92.5,0.727,0.748,0.736,78.8,0,0,0
101,0.715,0.736,0.724,91.3,0,0,0
109,0.704,0.725,0.713,106,0,0,0
117,0.692,0.714,0.701,122,0,0,0.103
125,0.682,0.703,0.69,142,0.397,0.0359,0.731
141,0.661,0.682,0.669,164,1.78,1.23,2.06
157,0.64,0.662,0.648,190,4.21,3.65,4.03
173,0.621,0.643,0.629,220,7.32,6.79,6.41
189,0.603,0.624,0.61,255,10.5,9.9,8.85
205,0.585,0.607,0.592,295,13,12.3,10.9
221,0.568,0.59,0.575,342,14.3,13.5,12.3
237,0.551,0.573,0.558,396,14.1,13.3,12.8
253,0.536,0.558,0.542,459,12.4,11.9,12.1
285,0.505,0.528,0.512,531,9.55,9.62,10.6
317,0.477,0.5,0.484,615,6.24,6.89,8.29
349,0.451,0.474,0.457,712,3.18,4.23,5.73
381,0.426,0.45,0.433,825,1,2.06,3.31
413,0.403,0.427,0.409,955,0.0164,0.659,1.44
445,0.382,0.406,0.388,1.11E+03,0,0.0469,0.348
477,0.361,0.385,0.368,1.28E+03,0,0,0
509,0.343,0.367,0.349,1.48E+03,0,0,0
573,0.308,0.332,0.315,1.72E+03,0,0,0
637,0.277,0.301,0.283,1.99E+03,0,0,0
701,0.25,0.273,0.255,2.30E+03,0,0,0
765,0.226,0.248,0.231,2.67E+03,0,0,0
829,0.205,0.226,0.209,3.09E+03,0,0.087,0
893,0.186,0.206,0.19,3.58E+03,0,0.342,0
957,0.169,0.189,0.174,4.15E+03,0.131,0.737,0
1.02E+03,0.155,0.173,0.159,4.80E+03,0.594,1.17,0
1.15E+03,0.13,0.146,0.133,5.56E+03,1.27,1.52,0
1.28E+03,0.108,0.124,0.112,6.44E+03,0,0,0
1.40E+03,0.0899,0.107,0.0943,7.46E+03,0,0,0
1.53E+03,0.0754,0.0929,0.0797,8.63E+03,0,0,0
1.66E+03,0.0632,0.0818,0.0674,,,,
1.79E+03,0.0535,0.0721,0.057,,,,
1.92E+03,0.0455,0.0647,0.0487,,,,
2.04E+03,0.0397,0.0586,0.0418,,,,
2.30E+03,0.0306,0.0495,0.0318,,,,
2.56E+03,0.0254,0.041,0.0253,,,,
2.81E+03,0.0205,0.0343,0.0204,,,,
3.07E+03,0.0157,0.0295,0.0166,,,,
3.32E+03,0.0128,0.0264,0.0132,,,,
3.58E+03,0.0115,0.0244,0.0108,,,,
3.84E+03,0.00982,0.0226,0.0102,,,,
4.09E+03,0.00945,0.0219,0.0106,,,,
4.60E+03,0.00994,0.0194,0.0111,,,,
5.12E+03,0.0134,0.0177,0.00982,,,,
5.63E+03,0.0146,0.0156,0.00975,,,,
6.14E+03,0.0118,0.0145,0.00931,,,,
6.65E+03,0.0108,0.0151,0.00919,,,,
7.16E+03,0.0112,0.0161,0.00863,,,,
7.68E+03,0.0114,0.016,0.00993,,,,
8.19E+03,0.0102,0.015,0.0118,,,,
9.21E+03,0.00671,0.0143,0.0136,,,,
1.02E+04,0.0026,0.0141,0.011,,,,
1.13E+04,0.00224,0.0127,0.00844,,,,
1.23E+04,0.0024,0.0143,0.006,,,,
1.33E+04,0.00451,0.0159,0.00646,,,,
1.43E+04,0.00717,0.0122,0.00945,,,,
1.54E+04,0.00516,0.0164,0.00903,,,,
1.64E+04,0.00586,0.0158,0.00884,,,,
1.84E+04,0.00706,0.0172,0.00844,,,,
2.05E+04,0.00727,0.0144,0.00442,,,,
2.25E+04,0.0069,0.0131,0.00352,,,,
2.46E+04,0.00554,0.016,0.00699,,,,
2.66E+04,0.00666,0.0191,0.00866,,,,
2.87E+04,0.00637,0.019,0.00876,,,,
3.07E+04,0.00635,0.0211,0.00623,,,,
3.28E+04,0.00719,0.0143,0.00647,,,,
3.69E+04,0.00473,0.0152,0.00727,,,,
4.10E+04,0.00531,0.0158,0.00681,,,,
4.51E+04,0.00494,0.0143,0.00856,,,,
4.91E+04,0.00555,0.015,0.00915,,,,
5.32E+04,0.00673,0.0115,0.0103,,,,
5.73E+04,0.00587,0.0154,0.00886,,,,
6.14E+04,0.00583,0.0137,0.00713,,,,
6.55E+04,0.00416,0.015,0.00758,,,,
7.37E+04,0.00325,0.0137,0.00421,,,,
8.19E+04,0.00346,0.0105,0.00908,,,,
9.01E+04,0.00231,0.0133,0.00841,,,,
9.83E+04,0.00319,0.0116,0.00688,,,,
1.06E+05,0.00405,0.0131,0.00785,,,,
1.15E+05,0.00222,0.0167,0.00871,,,,
1.23E+05,0.00301,0.0163,0.00663,,,,
1.31E+05,0.00317,0.0121,0.00567,,,,
1.47E+05,0.00249,0.0111,0.00588,,,,
1.64E+05,0.00261,0.0101,0.00822,,,,
1.80E+05,0.00204,0.0111,0.00502,,,,
1.97E+05,0.0024,0.0103,0.00488,,,,
2.13E+05,0.002,0.00879,0.00525,,,,
2.29E+05,0.00355,0.00815,0.00325,,,,
2.46E+05,0.00275,0.00784,0.00502,,,,
2.62E+05,0.00208,0.00845,0.00448,,,,
2.95E+05,0.00186,0.00822,0.00383,,,,
3.28E+05,0.00128,0.00683,0.00205,,,,
3.60E+05,0.00295,0.00611,0.00364,,,,
3.93E+05,0.000807,0.00298,0.00339,,,,
4.26E+05,0.00212,0.00355,0.00393,,,,
4.59E+05,0.00167,0.0024,0.00279,,,,
4.92E+05,0.00132,0.0034,0.00299,,,,
5.24E+05,0.00171,0.00266,0.00217,,,,
5.90E+05,0.00128,0.000783,0.00251,,,,
6.55E+05,0.00116,0.000881,0.00204,,,,
7.21E+05,0.000146,0.00139,0.00274,,,,
7.86E+05,0,0.000995,0.00219,,,,
8.52E+05,7.73E-05,0.000887,0.00157,,,,
9.18E+05,0.000832,0.00051,0.00113,,,,
9.83E+05,0.000355,0.000807,0.00216,,,,
1.05E+06,0,9.24E-05,0.00113,,,,
1.18E+06,0.00029,0,0.00243,,,,
1.31E+06,0.00013,0.00119,0.00254,,,,
1.44E+06,0.000374,0.00183,0.0013,,,,
1.57E+06,0.000886,0.00159,0.00208,,,,
1.70E+06,0.00156,0.00382,0.00147,,,,
1.84E+06,0.000466,0.00258,0.00256,,,,
1.97E+06,0.000805,0.00155,0.00215,,,,
2.10E+06,0.000501,0.00595,0.000439,,,,
2.36E+06,0.000657,0.00464,0.000565,,,,
2.62E+06,0.00104,0.00345,0.000106,,,,
2.88E+06,0.000828,0.00383,0.000509,,,,
3.15E+06,0.00095,0.00294,0.000235,,,,
3.41E+06,0.00205,0.00624,0.000683,,,,
3.67E+06,0.00186,0.00698,0.000414,,,,
3.93E+06,0.00265,0.00812,0.00147,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
