Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_05-Run008,149434,57087,6742,577,13,2.3,11,2.3,213855
2023_05_17_Bot_ETH_05-Run020,144193,59110,6890,571,13,0.0,0.0,0.0,210777
