Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_12_Bot_ETH_17-Run031,45429,8788,1810,411,22,0.0,9.0,0.0
2023_07_12_Bot_ETH_17-Run040,47901,9787,2275,528,29,0.0,18,4.5
