X Lag Time,Record 16: F11 1,Record 17: F11 2,Record 18: F11 3,X Intensity,Record 16: F11 1,Record 17: F11 2,Record 18: F11 3
0.5,0.816,0.834,0.84,0.4,0,0,0
1,0.819,0.837,0.845,0.463,0,0,0
1.5,0.818,0.835,0.843,0.536,0,0,0
2,0.816,0.832,0.841,0.621,0,0,0
2.5,0.814,0.832,0.839,0.719,0,0,0
3,0.814,0.831,0.837,0.833,0,0,0
3.5,0.812,0.83,0.836,0.965,0,0,0
4,0.81,0.828,0.836,1.12,0,0,0
4.5,0.81,0.827,0.835,1.29,0,0,0
5.5,0.808,0.825,0.833,1.5,0,0,0
6.5,0.807,0.824,0.831,1.74,0,0,0
7.5,0.804,0.822,0.829,2.01,0,0,0
8.5,0.802,0.82,0.828,2.33,0,0,0
9.5,0.801,0.819,0.825,2.7,0,0,0
10.5,0.8,0.817,0.824,3.12,0,0,0
11.5,0.798,0.816,0.822,3.62,0,0,0
12.5,0.797,0.815,0.821,4.19,0,0,0
14.5,0.794,0.812,0.819,4.85,0,0,0
16.5,0.792,0.809,0.816,5.61,0,0,0
18.5,0.789,0.807,0.813,6.5,0,0,0
20.5,0.786,0.804,0.811,7.53,0,0,0
22.5,0.784,0.802,0.808,8.72,0,0,0
24.5,0.781,0.799,0.806,10.1,0,0,0
26.5,0.78,0.797,0.803,11.7,0,0,0
28.5,0.777,0.795,0.801,13.5,0,0,0
32.5,0.773,0.791,0.797,15.7,0,0,0
36.5,0.769,0.786,0.793,18.2,0,0,0
40.5,0.765,0.782,0.788,21,0,0,0
44.5,0.761,0.779,0.786,24.4,0,0,0
48.5,0.758,0.775,0.781,28.2,0,0,0
52.5,0.754,0.772,0.777,32.7,0,0,0
56.5,0.751,0.768,0.773,37.8,0,0,0
60.5,0.747,0.765,0.77,43.8,0,0,0
68.5,0.741,0.758,0.764,50.7,0,0,0
76.5,0.735,0.752,0.757,58.8,0,0,0
84.5,0.729,0.746,0.751,68.1,0,0,0
92.5,0.723,0.74,0.745,78.8,0,0,0
101,0.717,0.734,0.74,91.3,0,0,0
109,0.712,0.729,0.734,106,0,0,0
117,0.707,0.724,0.728,122,0,0,0
125,0.702,0.718,0.723,142,0,0,0
141,0.692,0.708,0.712,164,0,0,0
157,0.682,0.698,0.702,190,0,0,0
173,0.672,0.688,0.692,220,0,0,0
189,0.663,0.679,0.682,255,0,0,0
205,0.653,0.669,0.673,295,0,0.0103,0
221,0.644,0.66,0.664,342,0,0.883,0
237,0.635,0.651,0.654,396,1.42,2.84,0.0542
253,0.627,0.642,0.645,459,4.37,5.62,3.74
285,0.609,0.624,0.628,531,8.16,8.68,9.9
317,0.593,0.608,0.611,615,11.8,11.4,15.9
349,0.577,0.591,0.594,712,14.4,13.2,19.3
381,0.561,0.575,0.578,825,15.3,13.8,19.1
413,0.546,0.56,0.563,955,14.5,13.1,15.6
445,0.531,0.545,0.547,1.11E+03,12.2,11.2,10.3
477,0.517,0.531,0.533,1.28E+03,8.94,8.62,4.96
509,0.503,0.517,0.518,1.48E+03,5.55,5.79,1.32
573,0.477,0.49,0.491,1.72E+03,2.66,3.24,0
637,0.453,0.465,0.465,1.99E+03,0.773,1.35,0
701,0.429,0.441,0.44,2.30E+03,0,0.305,0
765,0.407,0.419,0.417,2.67E+03,0,0,0
829,0.387,0.398,0.395,3.09E+03,0,0,0
893,0.368,0.378,0.374,3.58E+03,0,0,0
957,0.35,0.359,0.355,4.15E+03,0,0,0
1.02E+03,0.332,0.341,0.336,4.80E+03,0,0,0
1.15E+03,0.3,0.308,0.302,5.56E+03,0,0,0
1.28E+03,0.271,0.279,0.271,6.44E+03,0,0,0
1.40E+03,0.245,0.253,0.243,7.46E+03,0,0,0
1.53E+03,0.221,0.229,0.219,8.63E+03,0,0,0
1.66E+03,0.201,0.209,0.197,,,,
1.79E+03,0.182,0.19,0.178,,,,
1.92E+03,0.164,0.174,0.16,,,,
2.04E+03,0.149,0.159,0.145,,,,
2.30E+03,0.123,0.132,0.119,,,,
2.56E+03,0.101,0.11,0.0985,,,,
2.81E+03,0.082,0.0915,0.0819,,,,
3.07E+03,0.0678,0.0769,0.0686,,,,
3.32E+03,0.0565,0.0644,0.0583,,,,
3.58E+03,0.0477,0.0542,0.0504,,,,
3.84E+03,0.0413,0.046,0.0448,,,,
4.09E+03,0.0368,0.0394,0.0403,,,,
4.60E+03,0.0297,0.0293,0.0321,,,,
5.12E+03,0.0224,0.0232,0.0271,,,,
5.63E+03,0.0171,0.0182,0.0234,,,,
6.14E+03,0.0134,0.0164,0.0192,,,,
6.65E+03,0.0107,0.0162,0.0138,,,,
7.16E+03,0.00905,0.0157,0.00995,,,,
7.68E+03,0.00825,0.0133,0.0081,,,,
8.19E+03,0.00878,0.0121,0.00733,,,,
9.21E+03,0.0101,0.0134,0.00669,,,,
1.02E+04,0.00862,0.0138,0.00909,,,,
1.13E+04,0.00831,0.0129,0.00947,,,,
1.23E+04,0.00692,0.0123,0.0077,,,,
1.33E+04,0.00495,0.0103,0.00698,,,,
1.43E+04,0.00346,0.00712,0.00741,,,,
1.54E+04,0.00288,0.00538,0.00605,,,,
1.64E+04,0.00189,0.00464,0.00778,,,,
1.84E+04,0.00185,0.0048,0.00742,,,,
2.05E+04,0.00329,0.00715,0.0073,,,,
2.25E+04,0.00437,0.00815,0.0103,,,,
2.46E+04,0.00318,0.00704,0.00692,,,,
2.66E+04,0.00358,0.00823,0.00672,,,,
2.87E+04,0.00387,0.00731,0.00663,,,,
3.07E+04,0.00569,0.00569,0.00679,,,,
3.28E+04,0.00457,0.00747,0.00582,,,,
3.69E+04,0.00173,0.00975,0.00489,,,,
4.10E+04,0.00371,0.00653,0.00731,,,,
4.51E+04,0.00341,0.0041,0.00868,,,,
4.91E+04,0.00715,0.00468,0.00306,,,,
5.32E+04,0.00641,0.00466,0.00538,,,,
5.73E+04,0.00235,0.0034,0.00207,,,,
6.14E+04,0.00282,0.00715,0.00771,,,,
6.55E+04,0.00191,0.00873,0.00634,,,,
7.37E+04,0.00313,0.00619,0.00312,,,,
8.19E+04,0.00838,0.00668,0.00516,,,,
9.01E+04,0.00235,0.00479,0.00336,,,,
9.83E+04,0.00219,0.00528,0.00155,,,,
1.06E+05,0.00241,0.00606,0.00382,,,,
1.15E+05,0.00227,0.00515,0.00506,,,,
1.23E+05,0.00152,0.00611,0.00157,,,,
1.31E+05,0.00122,0.00471,0.00299,,,,
1.47E+05,0.00256,0.00521,0.00519,,,,
1.64E+05,0.00154,0.00539,0.00132,,,,
1.80E+05,0.0027,0.00628,0.00194,,,,
1.97E+05,0.00404,0.00584,0.00271,,,,
2.13E+05,0.00505,0.00489,0.00192,,,,
2.29E+05,0.00349,0.00241,0.00392,,,,
2.46E+05,0.00129,0.00667,0.00329,,,,
2.62E+05,0.0028,0.00616,0.00129,,,,
2.95E+05,0.00172,0.00681,0.00209,,,,
3.28E+05,0.000817,0.00268,0.00153,,,,
3.60E+05,0.00103,0.00394,0.00362,,,,
3.93E+05,0.00292,0.00358,0.000951,,,,
4.26E+05,0.00243,0.0032,0.00109,,,,
4.59E+05,0.00396,0.00661,0.00215,,,,
4.92E+05,0.00288,0.0027,0.00149,,,,
5.24E+05,0.00138,0.00372,0.00125,,,,
5.90E+05,0.00227,0.00258,0.000868,,,,
6.55E+05,0.000958,0.00304,0.00119,,,,
7.21E+05,0.00456,0.00322,0.00107,,,,
7.86E+05,0.00194,0.00296,0.00223,,,,
8.52E+05,0.0012,0.00247,0.00164,,,,
9.18E+05,0.00204,0.00229,0.00173,,,,
9.83E+05,0.00185,0.00159,0.00219,,,,
1.05E+06,0.000405,0.00282,0.00153,,,,
1.18E+06,0.000937,0.00398,0.00228,,,,
1.31E+06,0.000628,0.00331,0.00148,,,,
1.44E+06,0.00105,0.00338,0.00239,,,,
1.57E+06,0.000855,0.00262,0.00111,,,,
1.70E+06,0.000659,0.00244,0.0016,,,,
1.84E+06,0.000187,0.00179,0.0027,,,,
1.97E+06,0.000789,0.00286,0.00267,,,,
2.10E+06,0.00118,0,0.0013,,,,
2.36E+06,0.00173,0,0.000948,,,,
2.62E+06,0.00129,0.000789,0.00107,,,,
2.88E+06,0.00397,0.000158,0.00209,,,,
3.15E+06,0.00193,0.000766,0.00209,,,,
3.41E+06,0.00177,0.000552,0.00237,,,,
3.67E+06,0.00249,0.000243,0.00157,,,,
3.93E+06,0.00134,0.00148,0.0029,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
