X Lag Time,Record 13: F10 1,Record 14: F10 2,Record 15: F10 3,X Intensity,Record 13: F10 1,Record 14: F10 2,Record 15: F10 3
0.5,0.838,0.831,0.855,0.4,0,0,0
1,0.839,0.828,0.852,0.463,0,0,0
1.5,0.834,0.824,0.847,0.536,0,0,0
2,0.83,0.82,0.842,0.621,0,0,0
2.5,0.825,0.815,0.837,0.719,0,0,0
3,0.821,0.812,0.834,0.833,0,0,0
3.5,0.817,0.807,0.83,0.965,0,0,0
4,0.813,0.805,0.826,1.12,0,0,0
4.5,0.811,0.802,0.822,1.29,0,0,0
5.5,0.804,0.795,0.816,1.5,0,0,0
6.5,0.799,0.789,0.811,1.74,0,0,0
7.5,0.794,0.784,0.805,2.01,0,0,0
8.5,0.789,0.778,0.797,2.33,0,0,0
9.5,0.784,0.773,0.793,2.7,0,0,0
10.5,0.78,0.77,0.788,3.12,0,0,0
11.5,0.775,0.764,0.783,3.62,0,0,0
12.5,0.771,0.76,0.778,4.19,0,0,0
14.5,0.763,0.751,0.769,4.85,0,0,0
16.5,0.756,0.743,0.761,5.61,0,0,0
18.5,0.748,0.736,0.754,6.5,0,0,0
20.5,0.741,0.728,0.746,7.53,0,0,0
22.5,0.734,0.721,0.739,8.72,0.608,0.586,0.624
24.5,0.728,0.715,0.732,10.1,1.71,1.75,1.76
26.5,0.721,0.709,0.724,11.7,2.67,2.81,2.76
28.5,0.716,0.702,0.718,13.5,2.93,3.07,3.05
32.5,0.705,0.692,0.706,15.7,2.38,2.38,2.47
36.5,0.695,0.681,0.696,18.2,1.36,1.15,1.37
40.5,0.685,0.671,0.685,21,0.431,0.186,0.378
44.5,0.676,0.662,0.676,24.4,0,0,0
48.5,0.668,0.653,0.667,28.2,0,0,0
52.5,0.66,0.645,0.659,32.7,0,0,0
56.5,0.653,0.639,0.652,37.8,0,0,0
60.5,0.646,0.632,0.645,43.8,0,0,0
68.5,0.635,0.619,0.631,50.7,0,0,0
76.5,0.624,0.608,0.619,58.8,0,0,0
84.5,0.613,0.597,0.609,68.1,0,0,0
92.5,0.604,0.588,0.599,78.8,0,0,0
101,0.595,0.579,0.59,91.3,0,0,0
109,0.587,0.571,0.581,106,0,0,0
