X Lag Time,Record 10: F3 1,Record 11: F3 2,Record 12: F3 3,X Intensity,Record 10: F3 1,Record 11: F3 2,Record 12: F3 3
0.5,0.838,0.852,0.814,0.4,0,0,0
1,0.836,0.854,0.813,0.463,0,0,0
1.5,0.833,0.846,0.809,0.536,0,0,0
2,0.829,0.845,0.807,0.621,0,0,0
2.5,0.83,0.841,0.807,0.719,0,0,0
3,0.826,0.843,0.805,0.833,0,0,0
3.5,0.826,0.841,0.803,0.965,0,0,0
4,0.823,0.841,0.802,1.12,0,0,0
4.5,0.822,0.838,0.802,1.29,0,0,0
5.5,0.816,0.833,0.799,1.5,0,0,0
6.5,0.817,0.831,0.796,1.74,0,0,0
7.5,0.812,0.829,0.794,2.01,0,0,0
8.5,0.812,0.826,0.791,2.33,0,0,0
9.5,0.811,0.826,0.788,2.7,0,0,0
10.5,0.807,0.824,0.786,3.12,0,0,0
11.5,0.806,0.821,0.787,3.62,0,0,0
12.5,0.805,0.819,0.783,4.19,0,0,0
14.5,0.801,0.816,0.78,4.85,0,0,0
16.5,0.798,0.812,0.777,5.61,0,0,0
18.5,0.794,0.808,0.774,6.5,0,0,0
20.5,0.791,0.806,0.769,7.53,0,0,0
22.5,0.789,0.804,0.768,8.72,0,0,0
24.5,0.785,0.8,0.765,10.1,0,0,0
26.5,0.782,0.798,0.76,11.7,0,0,0
28.5,0.78,0.795,0.758,13.5,0,0,0
32.5,0.774,0.789,0.753,15.7,0,0,0
36.5,0.77,0.783,0.748,18.2,0,0,0
40.5,0.764,0.778,0.743,21,0,0,0
44.5,0.76,0.774,0.737,24.4,0,0,0
48.5,0.755,0.769,0.733,28.2,0,0,0
52.5,0.751,0.763,0.727,32.7,0,0,0
56.5,0.745,0.758,0.722,37.8,0,0,0
60.5,0.741,0.754,0.718,43.8,0,0,0
68.5,0.733,0.745,0.709,50.7,0,0,0
76.5,0.723,0.736,0.699,58.8,0,0,0
84.5,0.715,0.727,0.69,68.1,0,0,0
92.5,0.707,0.718,0.682,78.8,0,0,0
101,0.699,0.71,0.674,91.3,0,0,0
109,0.691,0.701,0.666,106,0,0,0
117,0.684,0.694,0.658,122,0,0,0
125,0.676,0.686,0.65,142,0,0,0
141,0.661,0.671,0.635,164,0,0,0
157,0.647,0.656,0.62,190,0,0,0
173,0.633,0.641,0.606,220,0,0,0.0759
189,0.62,0.627,0.592,255,1.98,3.64,3.87
205,0.607,0.613,0.578,295,8.13,10.2,10.5
221,0.594,0.6,0.565,342,15.8,16.8,17
237,0.582,0.587,0.553,396,21.3,20.7,20.7
253,0.57,0.575,0.541,459,21.9,20.3,20.1
285,0.547,0.551,0.517,531,17.4,15.9,15.6
317,0.525,0.528,0.494,615,10.1,9.29,9.04
349,0.504,0.506,0.473,712,3.35,3.24,3.1
381,0.484,0.485,0.452,825,0,0.0165,0
413,0.465,0.465,0.433,955,0,0,0
