X Lag Time,Record 28: F13 1,Record 29: F13 2,Record 30: F13 3,X Intensity,Record 28: F13 1,Record 29: F13 2,Record 30: F13 3
0.5,0.85,0.835,0.875,0.4,0,0,0
1,0.854,0.839,0.877,0.463,0,0,0
1.5,0.851,0.834,0.874,0.536,0,0,0
2,0.848,0.834,0.872,0.621,0,0,0
2.5,0.846,0.831,0.868,0.719,0,0,0
3,0.845,0.83,0.869,0.833,0,0,0
3.5,0.843,0.828,0.867,0.965,0,0,0
4,0.842,0.826,0.865,1.12,0,0,0
4.5,0.841,0.826,0.865,1.29,0,0,0
5.5,0.838,0.822,0.862,1.5,0,0,0
6.5,0.834,0.82,0.858,1.74,0,0,0
7.5,0.832,0.818,0.858,2.01,0,0,0
8.5,0.83,0.815,0.855,2.33,0,0,0
9.5,0.828,0.812,0.851,2.7,0,0,0
10.5,0.825,0.811,0.849,3.12,0,0,0
11.5,0.823,0.808,0.846,3.62,0,0,0
12.5,0.821,0.806,0.844,4.19,0,0,0
14.5,0.817,0.803,0.841,4.85,0,0,0
16.5,0.813,0.799,0.836,5.61,0,0,0
18.5,0.809,0.795,0.833,6.5,0,0,0
20.5,0.806,0.792,0.829,7.53,0,0,0
22.5,0.802,0.788,0.826,8.72,0,0,0
24.5,0.798,0.784,0.822,10.1,0,0,0
26.5,0.795,0.78,0.818,11.7,0,0,0
28.5,0.792,0.777,0.815,13.5,0,0,0
32.5,0.785,0.771,0.809,15.7,0,0,0
36.5,0.779,0.765,0.801,18.2,0,0,0
40.5,0.772,0.758,0.796,21,0,0,0
44.5,0.766,0.753,0.79,24.4,0,0,0
48.5,0.761,0.747,0.784,28.2,0,0,0
52.5,0.755,0.742,0.778,32.7,0,0,0
56.5,0.749,0.737,0.773,37.8,0,0,0
60.5,0.744,0.732,0.767,43.8,0,0,0
68.5,0.734,0.721,0.757,50.7,0,0,0
76.5,0.724,0.712,0.747,58.8,0,0,0
84.5,0.714,0.702,0.738,68.1,0,0,0
92.5,0.705,0.694,0.729,78.8,0,0,0
101,0.697,0.685,0.72,91.3,0,0,0
109,0.688,0.676,0.711,106,0,0,0
117,0.68,0.669,0.703,122,0,0,0
125,0.671,0.661,0.695,142,0,0,0
141,0.655,0.645,0.679,164,0.382,0,0
157,0.64,0.63,0.663,190,1.81,0,0
173,0.625,0.616,0.649,220,4.41,1.68,2.83
189,0.611,0.602,0.635,255,7.85,5.38,8.89
205,0.597,0.588,0.621,295,11.4,10.3,15.9
221,0.584,0.575,0.607,342,14.2,14.9,20.8
237,0.571,0.563,0.594,396,15.6,17.8,21.3
253,0.558,0.551,0.582,459,15,17.8,17.1
285,0.534,0.527,0.558,531,12.6,15.1,9.99
317,0.511,0.505,0.535,615,8.91,10.4,3.32
349,0.49,0.484,0.513,712,4.93,5.24,0
381,0.469,0.464,0.493,825,1.71,1.47,0
413,0.45,0.445,0.474,955,0.0807,0,0
445,0.431,0.428,0.456,1.11E+03,0,0,0
477,0.414,0.411,0.439,1.28E+03,0,0,0
509,0.397,0.396,0.423,1.48E+03,0,0,0
573,0.366,0.366,0.392,1.72E+03,0,0,0
637,0.339,0.34,0.365,1.99E+03,0,0,0
701,0.313,0.315,0.341,2.30E+03,0,0,0
765,0.291,0.294,0.318,2.67E+03,0,0,0
829,0.27,0.275,0.298,3.09E+03,0,0,0
893,0.251,0.257,0.279,3.58E+03,0,0,0
957,0.234,0.241,0.262,4.15E+03,0,0,0
1.02E+03,0.219,0.226,0.247,4.80E+03,0,0,0
1.15E+03,0.192,0.2,0.22,5.56E+03,1.18,0,0
1.28E+03,0.169,0.177,0.198,6.44E+03,0,0,0
1.40E+03,0.15,0.158,0.178,7.46E+03,0,0,0
1.53E+03,0.134,0.142,0.161,8.63E+03,0,0,0
1.66E+03,0.121,0.127,0.146,,,,
1.79E+03,0.109,0.115,0.134,,,,
1.92E+03,0.0989,0.105,0.123,,,,
2.04E+03,0.0902,0.0958,0.114,,,,
2.30E+03,0.0755,0.0811,0.0992,,,,
2.56E+03,0.0646,0.0687,0.0885,,,,
2.81E+03,0.0558,0.0578,0.0798,,,,
3.07E+03,0.0488,0.0495,0.0716,,,,
3.32E+03,0.0443,0.0446,0.0656,,,,
3.58E+03,0.0405,0.0405,0.0612,,,,
3.84E+03,0.038,0.0379,0.0576,,,,
4.09E+03,0.0353,0.0374,0.0549,,,,
4.60E+03,0.0324,0.0376,0.0527,,,,
5.12E+03,0.0294,0.0364,0.053,,,,
5.63E+03,0.0266,0.034,0.0528,,,,
6.14E+03,0.0254,0.0322,0.0501,,,,
6.65E+03,0.023,0.0342,0.0489,,,,
7.16E+03,0.021,0.0338,0.0497,,,,
7.68E+03,0.021,0.0304,0.0484,,,,
8.19E+03,0.0238,0.0305,0.0469,,,,
9.21E+03,0.0254,0.028,0.0417,,,,
1.02E+04,0.0217,0.024,0.0367,,,,
1.13E+04,0.0185,0.0235,0.0362,,,,
1.23E+04,0.0157,0.0256,0.0379,,,,
1.33E+04,0.0191,0.0273,0.0361,,,,
1.43E+04,0.021,0.0267,0.0359,,,,
1.54E+04,0.0191,0.0246,0.0392,,,,
1.64E+04,0.0177,0.0234,0.0378,,,,
1.84E+04,0.0158,0.0194,0.0354,,,,
2.05E+04,0.0169,0.0178,0.0335,,,,
2.25E+04,0.0186,0.0202,0.0317,,,,
2.46E+04,0.0209,0.024,0.0315,,,,
2.66E+04,0.0149,0.0221,0.0298,,,,
2.87E+04,0.0145,0.0235,0.0283,,,,
3.07E+04,0.0144,0.0286,0.0271,,,,
3.28E+04,0.0141,0.0234,0.0325,,,,
3.69E+04,0.0167,0.0174,0.0328,,,,
4.10E+04,0.0126,0.0196,0.0286,,,,
4.51E+04,0.00954,0.017,0.0266,,,,
4.91E+04,0.0112,0.016,0.0224,,,,
5.32E+04,0.0101,0.0165,0.0226,,,,
5.73E+04,0.0141,0.0157,0.0234,,,,
6.14E+04,0.0106,0.0183,0.0184,,,,
6.55E+04,0.0128,0.0147,0.0185,,,,
7.37E+04,0.00867,0.0122,0.0154,,,,
8.19E+04,0.00889,0.0134,0.0151,,,,
9.01E+04,0.00938,0.015,0.0149,,,,
9.83E+04,0.00961,0.0107,0.016,,,,
1.06E+05,0.00577,0.0107,0.0121,,,,
1.15E+05,0.0088,0.0102,0.012,,,,
1.23E+05,0.00867,0.0107,0.0125,,,,
1.31E+05,0.00893,0.00984,0.012,,,,
1.47E+05,0.00646,0.0136,0.0101,,,,
1.64E+05,0.00691,0.0112,0.0118,,,,
1.80E+05,0.00639,0.0115,0.0102,,,,
1.97E+05,0.00674,0.0115,0.0119,,,,
2.13E+05,0.00488,0.00849,0.0111,,,,
2.29E+05,0.00389,0.0115,0.00993,,,,
2.46E+05,0.00577,0.00956,0.00781,,,,
2.62E+05,0.00499,0.00905,0.00777,,,,
2.95E+05,0.00605,0.00732,0.00746,,,,
3.28E+05,0.00747,0.00846,0.00786,,,,
3.60E+05,0.00456,0.00438,0.00916,,,,
3.93E+05,0.00437,0.00493,0.00917,,,,
4.26E+05,0.00589,0.00288,0.00712,,,,
4.59E+05,0.00515,0.00518,0.00651,,,,
4.92E+05,0.004,0.00505,0.00713,,,,
5.24E+05,0.00428,0.00303,0.00897,,,,
5.90E+05,0.00312,0.00298,0.00601,,,,
6.55E+05,0.00102,0.00277,0.00511,,,,
7.21E+05,0.00241,0.00159,0.00589,,,,
7.86E+05,0.00189,0.00134,0.00612,,,,
8.52E+05,0.0013,0.002,0.00524,,,,
9.18E+05,0.000517,0.00209,0.00366,,,,
9.83E+05,0.00131,0.00191,0.00385,,,,
1.05E+06,0.000623,0.00103,0.00264,,,,
1.18E+06,0.000836,0.000502,0.00172,,,,
1.31E+06,0.00145,0.000963,0.00179,,,,
1.44E+06,0.000551,0.000659,0.002,,,,
1.57E+06,0.000845,0.000542,0.00226,,,,
1.70E+06,0.00344,0.00111,0.0012,,,,
1.84E+06,0.00151,0.000418,0.00233,,,,
1.97E+06,0.00202,0.00114,0.0024,,,,
2.10E+06,0.0043,0,0.00673,,,,
2.36E+06,0.00365,0.0013,0.00918,,,,
2.62E+06,0.00448,0.0022,0.0102,,,,
2.88E+06,0.00531,0.00316,0.0113,,,,
3.15E+06,0.00395,0.00564,0.00793,,,,
3.41E+06,0.00652,0.00641,0.01,,,,
3.67E+06,0.00524,0.00551,0.00759,,,,
3.93E+06,0.0057,0.00565,0.00823,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
