X Lag Time,Record 25: F5 1,Record 26: F5 2,Record 27: F5 3,X Intensity,Record 25: F5 1,Record 26: F5 2,Record 27: F5 3
0.5,0.875,0.872,0.865,0.4,0,0,0
1,0.876,0.875,0.865,0.463,0,0,0
1.5,0.875,0.871,0.863,0.536,0,0,0
2,0.871,0.867,0.859,0.621,0,0,0
2.5,0.87,0.866,0.856,0.719,0,0,0
3,0.867,0.865,0.856,0.833,0,0,0
3.5,0.866,0.864,0.852,0.965,0,0,0
4,0.864,0.86,0.851,1.12,0,0,0
4.5,0.864,0.859,0.849,1.29,0,0,0
5.5,0.859,0.855,0.846,1.5,0,0,0
6.5,0.857,0.853,0.844,1.74,0,0,0
7.5,0.855,0.85,0.84,2.01,0,0,0
8.5,0.851,0.846,0.837,2.33,0,0,0
9.5,0.849,0.844,0.834,2.7,0,0,0
10.5,0.847,0.843,0.832,3.12,0,0,0
11.5,0.845,0.84,0.83,3.62,0,0,0
12.5,0.842,0.836,0.827,4.19,0,0,0
14.5,0.838,0.833,0.822,4.85,0,0,0
16.5,0.833,0.828,0.818,5.61,0,0,0
18.5,0.829,0.824,0.813,6.5,0,0,0
20.5,0.824,0.82,0.808,7.53,0,0,0
22.5,0.821,0.815,0.804,8.72,0,0,0
24.5,0.817,0.812,0.8,10.1,0,0,0
26.5,0.815,0.807,0.796,11.7,0,0,0
28.5,0.81,0.804,0.792,13.5,0,0,0
32.5,0.802,0.796,0.785,15.7,0,0,0
36.5,0.796,0.789,0.777,18.2,0,0,0
40.5,0.79,0.783,0.77,21,0,0,0
44.5,0.783,0.776,0.763,24.4,0,0,0
48.5,0.776,0.77,0.757,28.2,0,0,0
52.5,0.771,0.763,0.751,32.7,0,0,0
56.5,0.766,0.757,0.745,37.8,0,0,0
60.5,0.76,0.751,0.739,43.8,0,0,0
68.5,0.749,0.74,0.727,50.7,0,0,0
76.5,0.739,0.73,0.716,58.8,0,0,0.0414
84.5,0.729,0.72,0.705,68.1,0,0,0.314
92.5,0.72,0.71,0.696,78.8,0,0,0.633
101,0.71,0.7,0.686,91.3,0,0,0.768
