X Lag Time,Record 1: EVs_3e10_300rpm_02-00min_ST_No2_230911 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No2_230911 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No2_230911 3,X Intensity,Record 1: EVs_3e10_300rpm_02-00min_ST_No2_230911 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No2_230911 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No2_230911 3
0.5,0.846,0.861,0.843,0.4,0,0,0
1,0.853,0.868,0.849,0.463,0,0,0
1.5,0.853,0.866,0.848,0.536,0,0,0
2,0.85,0.864,0.845,0.621,0,0,0
2.5,0.85,0.865,0.845,0.719,0,0,0
3,0.848,0.863,0.842,0.833,0,0,0
3.5,0.848,0.862,0.843,0.965,0,0,0
4,0.846,0.86,0.841,1.12,0,0,0
4.5,0.845,0.859,0.84,1.29,0,0,0
5.5,0.843,0.857,0.839,1.5,0,0,0
6.5,0.84,0.856,0.837,1.74,0,0,0
7.5,0.839,0.852,0.835,2.01,0,0,0
8.5,0.837,0.85,0.831,2.33,0,0,0
9.5,0.834,0.849,0.83,2.7,0,0,0
10.5,0.832,0.847,0.829,3.12,0,0,0
11.5,0.829,0.843,0.825,3.62,0,0,0
12.5,0.827,0.842,0.824,4.19,0,0,0
14.5,0.823,0.838,0.82,4.85,0,0,0
16.5,0.818,0.834,0.816,5.61,0,0,0
18.5,0.814,0.83,0.812,6.5,0,0,0
20.5,0.81,0.826,0.808,7.53,0,0,0
22.5,0.805,0.822,0.805,8.72,0,0,0
24.5,0.801,0.819,0.801,10.1,0,0,0
26.5,0.797,0.815,0.797,11.7,0,0,0
28.5,0.793,0.811,0.793,13.5,0,0,0
32.5,0.785,0.803,0.786,15.7,0,0,0
36.5,0.778,0.796,0.779,18.2,0,0,0
40.5,0.77,0.789,0.772,21,0,0,0
44.5,0.762,0.781,0.764,24.4,0,0,0
48.5,0.755,0.774,0.757,28.2,0,0,0
52.5,0.748,0.767,0.751,32.7,0.115,0,0
56.5,0.741,0.761,0.745,37.8,0.318,0,0
60.5,0.734,0.754,0.738,43.8,0.547,0,0
68.5,0.72,0.741,0.725,50.7,0.768,0.348,0
76.5,0.706,0.728,0.713,58.8,0.975,1.1,0
84.5,0.694,0.716,0.702,68.1,1.17,1.89,0.111
92.5,0.682,0.704,0.69,78.8,1.37,2.35,0.962
101,0.669,0.693,0.678,91.3,1.59,2.37,2.3
109,0.657,0.682,0.667,106,1.87,2.07,3.59
117,0.646,0.67,0.657,122,2.29,1.8,4.44
125,0.634,0.66,0.646,142,2.94,1.91,4.77
141,0.612,0.639,0.626,164,3.9,2.68,4.78
157,0.592,0.619,0.607,190,5.17,4.14,4.85
173,0.572,0.601,0.588,220,6.68,6.13,5.32
189,0.553,0.583,0.571,255,8.24,8.3,6.32
205,0.535,0.565,0.554,295,9.57,10.2,7.72
221,0.518,0.549,0.538,342,10.4,11.3,9.17
237,0.502,0.533,0.523,396,10.5,11.5,10.2
253,0.487,0.518,0.508,459,9.7,10.5,10.4
285,0.458,0.489,0.48,531,8.14,8.51,9.42
317,0.431,0.464,0.455,615,6.02,5.97,7.5
349,0.407,0.439,0.431,712,3.75,3.4,4.98
381,0.384,0.417,0.409,825,1.78,1.36,2.5
413,0.363,0.396,0.389,955,0.489,0.227,0.723
445,0.344,0.377,0.369,1.11E+03,0,0,0
477,0.326,0.359,0.352,1.28E+03,0,0,0
509,0.31,0.343,0.336,1.48E+03,0,0,0
573,0.28,0.313,0.306,1.72E+03,0,0,0
637,0.253,0.288,0.28,1.99E+03,0,0,0
701,0.23,0.265,0.258,2.30E+03,0,0,0
765,0.209,0.245,0.238,2.67E+03,0,0,0
829,0.191,0.226,0.221,3.09E+03,0,0,0
893,0.176,0.21,0.206,3.58E+03,0,0,0
957,0.163,0.195,0.193,4.15E+03,0,0,0
1.02E+03,0.152,0.183,0.181,4.80E+03,0.369,0.323,0
1.15E+03,0.132,0.161,0.16,5.56E+03,1.36,1.7,0
1.28E+03,0.115,0.143,0.144,6.44E+03,0,0,0
1.40E+03,0.102,0.128,0.13,7.46E+03,0,0,0
1.53E+03,0.09,0.115,0.118,8.63E+03,0,0,0
1.66E+03,0.0803,0.105,0.108,,,,
1.79E+03,0.0717,0.0954,0.0997,,,,
1.92E+03,0.0644,0.0878,0.0924,,,,
2.04E+03,0.0584,0.0813,0.086,,,,
2.30E+03,0.0483,0.0707,0.0741,,,,
2.56E+03,0.0411,0.0639,0.0647,,,,
2.81E+03,0.0358,0.0607,0.0581,,,,
3.07E+03,0.0326,0.0576,0.0537,,,,
3.32E+03,0.0308,0.0526,0.0511,,,,
3.58E+03,0.0301,0.047,0.0487,,,,
3.84E+03,0.0291,0.0433,0.0475,,,,
4.09E+03,0.0273,0.0418,0.0458,,,,
4.60E+03,0.0265,0.0383,0.0415,,,,
5.12E+03,0.0255,0.0367,0.0399,,,,
5.63E+03,0.0239,0.0367,0.0401,,,,
6.14E+03,0.0228,0.0337,0.0399,,,,
6.65E+03,0.0238,0.0317,0.042,,,,
7.16E+03,0.0215,0.0304,0.0444,,,,
7.68E+03,0.0209,0.0311,0.0446,,,,
8.19E+03,0.0206,0.0308,0.0408,,,,
9.21E+03,0.0212,0.0305,0.0378,,,,
1.02E+04,0.023,0.0293,0.0375,,,,
1.13E+04,0.0208,0.0309,0.0362,,,,
1.23E+04,0.0214,0.0292,0.0356,,,,
1.33E+04,0.0208,0.026,0.0377,,,,
1.43E+04,0.022,0.0226,0.0371,,,,
1.54E+04,0.0209,0.0237,0.037,,,,
1.64E+04,0.0204,0.0247,0.0356,,,,
1.84E+04,0.0194,0.0255,0.0355,,,,
2.05E+04,0.0197,0.0241,0.0386,,,,
2.25E+04,0.0203,0.0263,0.0399,,,,
2.46E+04,0.0208,0.0302,0.0386,,,,
2.66E+04,0.0201,0.0267,0.038,,,,
2.87E+04,0.018,0.026,0.0338,,,,
3.07E+04,0.0224,0.0267,0.0333,,,,
3.28E+04,0.0199,0.0266,0.0328,,,,
3.69E+04,0.0172,0.0249,0.037,,,,
4.10E+04,0.0174,0.0214,0.0392,,,,
4.51E+04,0.0175,0.0254,0.0364,,,,
4.91E+04,0.0198,0.0243,0.0357,,,,
5.32E+04,0.0197,0.0248,0.0357,,,,
5.73E+04,0.0206,0.0264,0.0326,,,,
6.14E+04,0.0176,0.0241,0.0346,,,,
6.55E+04,0.0177,0.022,0.0362,,,,
7.37E+04,0.0174,0.0222,0.0345,,,,
8.19E+04,0.0201,0.0211,0.0344,,,,
9.01E+04,0.0177,0.0167,0.034,,,,
9.83E+04,0.0131,0.0193,0.0304,,,,
1.06E+05,0.0155,0.0171,0.0299,,,,
1.15E+05,0.0153,0.0189,0.0289,,,,
1.23E+05,0.0149,0.0182,0.031,,,,
1.31E+05,0.0144,0.02,0.0313,,,,
1.47E+05,0.014,0.0181,0.0286,,,,
1.64E+05,0.0119,0.0194,0.027,,,,
1.80E+05,0.0121,0.0174,0.0261,,,,
1.97E+05,0.0132,0.0161,0.0265,,,,
2.13E+05,0.011,0.0163,0.0229,,,,
2.29E+05,0.00985,0.016,0.0204,,,,
2.46E+05,0.0108,0.0124,0.0219,,,,
2.62E+05,0.00809,0.0108,0.0203,,,,
2.95E+05,0.00732,0.00996,0.0175,,,,
3.28E+05,0.00748,0.0123,0.0148,,,,
3.60E+05,0.00711,0.0122,0.0138,,,,
3.93E+05,0.00458,0.0124,0.0134,,,,
4.26E+05,0.00547,0.0104,0.0114,,,,
4.59E+05,0.00356,0.0101,0.0116,,,,
4.92E+05,0.0052,0.012,0.0101,,,,
5.24E+05,0.00592,0.00897,0.00842,,,,
5.90E+05,0.00572,0.00871,0.00664,,,,
6.55E+05,0.00409,0.00608,0.00631,,,,
7.21E+05,0.0036,0.00548,0.00542,,,,
7.86E+05,0.00329,0.00559,0.00522,,,,
8.52E+05,0.00288,0.00651,0.00542,,,,
9.18E+05,0.00205,0.00511,0.00557,,,,
9.83E+05,0.0036,0.00717,0.00597,,,,
1.05E+06,0.00271,0.00658,0.00644,,,,
1.18E+06,0.00315,0.0048,0.00655,,,,
1.31E+06,0.00191,0.00468,0.00568,,,,
1.44E+06,0.000703,0.0045,0.00443,,,,
1.57E+06,0.00109,0.00683,0.00471,,,,
1.70E+06,0.000851,0.00511,0.00387,,,,
1.84E+06,0.00199,0.00411,0.00316,,,,
1.97E+06,0.00169,0.00376,0.00425,,,,
2.10E+06,0.00185,0.000296,0.00441,,,,
2.36E+06,0.00129,0,0.0057,,,,
2.62E+06,0.00359,0.00041,0.00293,,,,
2.88E+06,0.00289,0.000813,0.00406,,,,
3.15E+06,0.00153,0.00269,0.00647,,,,
3.41E+06,0.000757,0.00187,0.00599,,,,
3.67E+06,0.00377,0.00384,0.00141,,,,
3.93E+06,0.00305,0.00458,0.00245,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
