X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230911 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230911 3
0.5,0.894,0.898,0.883,0.4,0,0,0
1,0.898,0.9,0.889,0.463,0,0,0
1.5,0.897,0.896,0.888,0.536,0,0,0
2,0.894,0.895,0.886,0.621,0,0,0
2.5,0.891,0.891,0.883,0.719,0,0,0
3,0.888,0.891,0.879,0.833,0,0,0
3.5,0.886,0.89,0.877,0.965,0,0,0
4,0.886,0.887,0.876,1.12,0,0,0
4.5,0.883,0.884,0.873,1.29,0,0,0
5.5,0.877,0.88,0.868,1.5,0,0,0
6.5,0.873,0.873,0.864,1.74,0,0,0
7.5,0.871,0.87,0.86,2.01,0,0,0
8.5,0.864,0.866,0.856,2.33,0,0,0
9.5,0.86,0.863,0.85,2.7,0,0,0
10.5,0.857,0.857,0.849,3.12,0,0,0
11.5,0.852,0.855,0.841,3.62,0,0,0
12.5,0.847,0.85,0.838,4.19,0,0,0
14.5,0.839,0.841,0.831,4.85,0,0,0
16.5,0.832,0.833,0.822,5.61,0,0,0
18.5,0.822,0.824,0.813,6.5,0,0,0
20.5,0.815,0.816,0.806,7.53,0,0,0
22.5,0.807,0.809,0.798,8.72,0,0,0
24.5,0.799,0.8,0.789,10.1,0,0,0
26.5,0.791,0.792,0.782,11.7,0,0,0
28.5,0.783,0.785,0.775,13.5,0,0,0
32.5,0.768,0.771,0.761,15.7,0,0,0
36.5,0.754,0.755,0.746,18.2,0,0,0
40.5,0.74,0.741,0.731,21,0,0,0
44.5,0.726,0.727,0.718,24.4,0,0,0
48.5,0.713,0.713,0.705,28.2,0,0,0
