X Lag Time,Record 1: H2O_00mg_300rpm_20-00min_ST_No1_230921 1,Record 2: H2O_00mg_300rpm_20-00min_ST_No1_230921 2,Record 3: H2O_00mg_300rpm_20-00min_ST_No1_230921 3,X Intensity,Record 1: H2O_00mg_300rpm_20-00min_ST_No1_230921 1,Record 2: H2O_00mg_300rpm_20-00min_ST_No1_230921 2,Record 3: H2O_00mg_300rpm_20-00min_ST_No1_230921 3
0.5,0.979,0.918,0.816,0.4,0,0,0
1,0.983,0.921,0.824,0.463,0,0,0
1.5,0.979,0.92,0.821,0.536,0,0,0
2,0.982,0.922,0.823,0.621,0,0,0
2.5,0.982,0.919,0.818,0.719,0,0,0
3,0.981,0.92,0.817,0.833,0,0,0
3.5,0.981,0.92,0.819,0.965,0,0,0
4,0.98,0.92,0.817,1.12,0,0,0
4.5,0.976,0.917,0.817,1.29,0,0,0
5.5,0.979,0.919,0.82,1.5,0,0,0
6.5,0.975,0.914,0.817,1.74,0,0,0
7.5,0.971,0.911,0.814,2.01,0,0,0
8.5,0.971,0.912,0.813,2.33,0,0,0
9.5,0.968,0.908,0.811,2.7,0,0,0
10.5,0.968,0.908,0.808,3.12,0,0,0
11.5,0.965,0.904,0.807,3.62,0,0,0
12.5,0.963,0.904,0.806,4.19,0,0,0
14.5,0.96,0.9,0.802,4.85,0,0,0
16.5,0.954,0.896,0.8,5.61,0,0,0
18.5,0.953,0.892,0.795,6.5,0,0,0
20.5,0.949,0.889,0.792,7.53,0,0,0
22.5,0.944,0.883,0.788,8.72,0,0,0
24.5,0.941,0.884,0.786,10.1,0,0,0
26.5,0.938,0.878,0.782,11.7,0,0,0
28.5,0.933,0.875,0.778,13.5,0,0,0
32.5,0.927,0.867,0.772,15.7,0,0,0
36.5,0.92,0.86,0.765,18.2,0,0,0
40.5,0.914,0.852,0.758,21,0,0,0
44.5,0.905,0.847,0.752,24.4,0,0,0
48.5,0.9,0.84,0.748,28.2,0,0,0
52.5,0.893,0.833,0.741,32.7,0,0,0
56.5,0.887,0.827,0.735,37.8,0,0,0
60.5,0.881,0.82,0.728,43.8,0,0,0
68.5,0.867,0.807,0.717,50.7,0,0.0481,0
76.5,0.856,0.794,0.706,58.8,1.76,0.293,0.0981
84.5,0.844,0.783,0.695,68.1,4.11,0.719,1.29
92.5,0.832,0.772,0.684,78.8,4.81,1.39,2.86
101,0.821,0.76,0.674,91.3,3.3,2.35,3.97
109,0.81,0.748,0.663,106,0.982,3.58,4.22
117,0.799,0.736,0.653,122,0,4.94,3.79
125,0.789,0.726,0.644,142,1.36,6.25,3.18
141,0.768,0.706,0.625,164,6.65,7.36,3
157,0.75,0.687,0.607,190,14.3,8.15,3.66
173,0.731,0.669,0.59,220,20.4,8.56,5.29
189,0.714,0.651,0.574,255,21.1,8.58,7.59
205,0.697,0.634,0.558,295,15.2,8.25,9.97
221,0.682,0.617,0.543,342,6.05,7.62,11.7
237,0.666,0.601,0.529,396,0,6.77,12.1
253,0.652,0.586,0.516,459,0,5.82,10.9
285,0.626,0.558,0.489,531,0,4.85,8.28
317,0.6,0.532,0.466,615,0,3.92,4.91
349,0.577,0.508,0.445,712,0,3.06,1.87
381,0.556,0.486,0.425,825,0,2.25,0.153
413,0.537,0.465,0.406,955,0,1.47,0
445,0.518,0.445,0.388,1.11E+03,0,0.766,0
477,0.502,0.427,0.372,1.28E+03,0,0.238,0
509,0.486,0.411,0.357,1.48E+03,0,0,0
573,0.458,0.38,0.33,1.72E+03,0,0,0
637,0.433,0.354,0.306,1.99E+03,0,0,0
701,0.413,0.331,0.285,2.30E+03,0,0,0
765,0.394,0.311,0.266,2.67E+03,0,0,0
829,0.378,0.293,0.25,3.09E+03,0,0,0
893,0.363,0.277,0.235,3.58E+03,0,0,0
