T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
25.28807	90.2168	1.379286	-0.02834008	0.0130577
25.34202	90.21346	1.369097	-0.02803343	0.01381306
25.39597	90.20918	1.356959	-0.02774057	0.01462583
25.44991	90.20439	1.342808	-0.02745821	0.01544874
25.50386	90.19981	1.327138	-0.02718391	0.01623702
25.55781	90.19635	1.310947	-0.02691671	0.01695171
25.61176	90.19464	1.295314	-0.02665686	0.01756162
25.6657	90.19434	1.280866	-0.02640538	0.01804322
25.71965	90.19482	1.268247	-0.02616326	0.01837944
25.7736	90.1954	1.258383	-0.0259312	0.01855837
25.82755	90.19547	1.25194	-0.02570939	0.01857162
25.8815	90.19489	1.249621	-0.02549818	0.01841392
25.93544	90.19387	1.25223	-0.0252984	0.01808379
25.98939	90.19274	1.260376	-0.02511211	0.01758433
26.04334	90.19222	1.274535	-0.02494264	0.01692399
26.09729	90.19299	1.294346	-0.02479441	0.01611708
26.15123	90.19572	1.318648	-0.02467251	0.01518369
26.20518	90.2007	1.345726	-0.02458156	0.01414787
26.25913	90.20745	1.373533	-0.02452482	0.01303615
26.31308	90.21523	1.400292	-0.02450367	0.01187572
26.36702	90.22318	1.424628	-0.02451692	0.0106933
26.42097	90.23042	1.44567	-0.02456127	0.009515544
26.47492	90.23655	1.463339	-0.02463218	0.00836895
26.52887	90.24142	1.477908	-0.02472414	0.007279221
26.58282	90.24506	1.48972	-0.02483116	0.006270106
26.63676	90.24753	1.499334	-0.0249473	0.005360812
26.69071	90.24876	1.507225	-0.02506685	0.004563722
26.74466	90.24863	1.514048	-0.0251852	0.003884075
26.7986	90.24702	1.520497	-0.02529914	0.003321944
26.85255	90.24421	1.527013	-0.02540674	0.002878766
26.9065	90.24041	1.533885	-0.02550678	0.00256887
26.96045	90.23574	1.540822	-0.02559806	0.002431685
27.0144	90.23008	1.546965	-0.02567919	0.002524714
27.06834	90.22341	1.551218	-0.02574871	0.002884959
27.12229	90.21598	1.55302	-0.02580578	0.003502357
27.17624	90.20836	1.552712	-0.02585099	0.004339593
27.23019	90.20137	1.551518	-0.02588659	0.005357668
27.28413	90.19564	1.550419	-0.02591582	0.0065225
27.33808	90.19123	1.549539	-0.02594192	0.007802446
27.39203	90.1879	1.548592	-0.02596775	0.009165077
27.44598	90.18537	1.547214	-0.02599579	0.01057615
27.49993	90.18357	1.545104	-0.02602821	0.0119999
27.55387	90.18267	1.541821	-0.02606747	0.01340008
27.60782	90.18271	1.536799	-0.0261161	0.01474099
27.66177	90.18324	1.529315	-0.02617644	0.01598833
27.71572	90.18375	1.519032	-0.02625063	0.01710979
27.76966	90.18351	1.505978	-0.02634023	0.01807552
27.82361	90.18212	1.490579	-0.0264466	0.0188589
27.87756	90.17987	1.473718	-0.02657159	0.01943683
27.93151	90.17728	1.456257	-0.02671841	0.01979051
27.98545	90.17497	1.439119	-0.02689194	0.01990638
28.0394	90.17313	1.423246	-0.02709753	0.01977651
28.09335	90.17114	1.409206	-0.02733937	0.01939856
28.1473	90.16824	1.397352	-0.02761938	0.01877559
28.20124	90.16383	1.387932	-0.02793677	0.01791503
28.25519	90.15775	1.380937	-0.02828918	0.01682881
28.30914	90.15038	1.376073	-0.02867405	0.01553475
28.36309	90.14239	1.372718	-0.02908916	0.01405943
28.41703	90.13448	1.370075	-0.02953287	0.01244291
28.47098	90.12746	1.367348	-0.03000372	0.01074765
28.52493	90.12177	1.363784	-0.03049959	0.009075584
28.57888	90.11755	1.35898	-0.03101677	0.00760117
28.63283	90.11469	1.352652	-0.03154973	0.00661352
28.68677	90.11282	1.344422	-0.03209122	0.006462251
28.74072	90.11149	1.334138	-0.0326328	0.007268997
28.79467	90.11046	1.321894	-0.03316577	0.008799109
28.84862	90.10963	1.308116	-0.03368183	0.01074267
28.90256	90.10934	1.293733	-0.03417327	0.01288707
28.95651	90.11012	1.279803	-0.03463283	0.01510494
29.01046	90.1123	1.266877	-0.03505383	0.0173168
29.06441	90.11562	1.255285	-0.03543063	0.01946868
29.11835	90.11954	1.245511	-0.03575912	0.02152075
29.1723	90.12349	1.238369	-0.03603704	0.02344121
29.22625	90.12726	1.234992	-0.0362641	0.02520262
29.2802	90.13091	1.236245	-0.03644168	0.02678068
29.33414	90.13477	1.242697	-0.036572	0.02815414
29.38809	90.13891	1.254225	-0.03665774	0.0293058
29.44204	90.14306	1.27004	-0.0367019	0.03022414
29.49599	90.14689	1.289344	-0.03670827	0.03090429
29.54993	90.15012	1.31137	-0.03668246	0.03134838
29.60388	90.15269	1.335489	-0.0366324	0.0315644
29.65783	90.15481	1.361415	-0.0365678	0.03156452
